County,Rates,95% LCL,95% UCL,Counts
Alameda,3.1,2.31,4.06,51
Alpine,0,0,344.43,0
Amador,13.38,4.5,31.09,5
Butte,7.5,4.43,11.94,17
Calaveras,13.29,6.27,27.76,6
California,5.2,4.97,5.42,2039
Colusa,9.27,2.52,32.27,2
Contra Costa,4.67,3.5,6.11,53
Del Norte,10.89,4.12,30.3,3
El Dorado,4.85,2.31,9.12,9
Fresno,7.14,5.59,9,70
Glenn,3.56,0.97,18.96,1
Humboldt,24.15,16.8,33.75,33
Imperial,6.63,3.46,11.56,12
Inyo,16.54,4.51,47.42,3
Kern,6.1,4.62,7.93,54
Kings,4,1.8,8.45,6
Lake,15.6,7.75,28.44,10
Lassen,22.68,9.58,46.33,7
Los Angeles,3.49,3.13,3.87,353
Madera,7.11,3.59,12.68,11
Marin,5.37,3.01,8.95,14
Mariposa,5.75,1.56,30.6,1
Mendocino,19.4,11.46,30.92,17
Merced,8.56,5.5,12.78,23
Modoc,0,0,41.94,0
Mono,7.15,1.95,38.1,1
Monterey,2.76,1.45,4.79,12
Napa,1.4,0.38,4.89,2
Nevada,8.07,4.15,15.35,8
Orange,9.11,8.09,10.22,289
Placer,3.68,2.12,6.07,14
Plumas,0,0,19.8,0
Riverside,4.78,3.94,5.73,114
Sacramento,3.63,2.75,4.71,55
San Benito,3.37,0.92,11.72,2
San Bernardino,1.68,1.19,2.32,36
San Diego,7.63,6.72,8.62,253
San Francisco,10.79,8.73,13.2,94
San Joaquin,7.22,5.43,9.43,53
San Luis Obispo,7.42,4.73,11.22,21
San Mateo,2.75,1.72,4.18,21
Santa Barbara,7.17,4.92,10.12,32
Santa Clara,3.54,2.76,4.48,68
Santa Cruz,12.74,8.93,17.68,35
Shasta,9.46,5.57,15.11,17
Sierra,0,0,125.17,0
Siskiyou,22.93,11.29,41.92,10
Solano,3.41,1.98,5.54,15
Sonoma,4.97,3.22,7.33,25
Stanislaus,2.58,1.43,4.32,14
Sutter,4.14,1.78,10.06,4
Tehama,3.16,1.36,10.6,2
Trinity,15.64,4.26,54.49,2
Tulare,3.04,1.67,5.09,14
Tuolumne,13.01,6.36,25.87,7
Unknown,NaN,0,NaN,0
Ventura,5.18,3.76,6.95,44
Yolo,4.17,1.96,7.87,9
Yuba,6.64,2.66,15.1,5
Source: CDPH Vital Statistics Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Safe and Active Communities Branch.,,,,
