County,Rates,95% LCL,95% UCL,Counts
Alameda,1.3,0.8,2.03,19
Alpine,0,0,289.55,0
Amador,5.16,1.4,17.98,2
Butte,10.12,6.49,15.18,22
Calaveras,6.49,1.77,18.6,3
California,4.55,4.34,4.78,1651
Colusa,4.75,1.29,25.27,1
Contra Costa,4.26,3.08,5.74,43
Del Norte,14.08,4.96,35.13,4
El Dorado,9,5.24,14.54,16
Fresno,7.14,5.51,9.11,64
Glenn,10.8,2.94,30.97,3
Humboldt,17.42,11.14,26.06,23
Imperial,6.68,3.38,11.92,11
Inyo,0,0,20.02,0
Kern,5.98,4.41,7.92,48
Kings,7.32,3.76,12.99,11
Lake,15.61,9.03,27.37,10
Lassen,30.88,15.89,54.86,11
Los Angeles,2.6,2.29,2.94,252
Madera,2.06,0.78,5.71,3
Marin,10.15,6.64,14.92,25
Mariposa,10.89,2.96,37.92,2
Mendocino,12.63,6.59,22.35,11
Merced,3.62,1.66,6.86,9
Modoc,10.5,2.86,55.93,1
Mono,0,0,26.97,0
Monterey,3.23,1.74,5.51,13
Napa,3.77,1.51,8.57,5
Nevada,3.07,1.16,8.53,3
Orange,6.24,5.37,7.21,183
Placer,5.17,3.05,8.23,17
Plumas,29.03,13,61.28,6
Riverside,3.71,2.93,4.63,77
Sacramento,5.72,4.54,7.12,79
San Benito,3.7,1.6,12.4,2
San Bernardino,1.2,0.77,1.79,24
San Diego,7.5,6.54,8.54,223
San Francisco,1.41,0.78,2.46,11
San Joaquin,8.08,6.11,10.51,54
San Luis Obispo,7.61,4.83,11.59,20
San Mateo,2.31,1.34,3.73,16
Santa Barbara,1.46,0.63,3.1,6
Santa Clara,3.56,2.73,4.58,61
Santa Cruz,11.45,7.81,16.3,29
Shasta,10.77,6.71,16.6,19
Sierra,0,0,109.36,0
Siskiyou,6.75,2.55,18.77,3
Solano,2.45,1.19,4.5,10
Sonoma,9.41,6.85,12.62,44
Stanislaus,9.06,6.66,12.05,46
Sutter,4.3,1.96,10.38,4
Tehama,1.61,0.44,8.58,1
Trinity,21.98,8.32,61.15,3
Tulare,2.85,1.65,4.81,12
Tuolumne,15.97,7.52,30.14,9
Unknown,NaN,0,NaN,0
Ventura,8.38,6.5,10.62,67
Yolo,4.12,1.83,8.07,8
Yuba,2.83,0.77,9.84,2
Source: CDPH Vital Statistics Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Safe and Active Communities Branch.,,,,
