County,Rates,95% LCL,95% UCL,Counts
Alameda,2.44,1.73,3.36,37
Alpine,0,0,318.28,0
Amador,15.84,7.09,33.44,6
Butte,7.73,4.67,12.22,17
Calaveras,15.4,7.53,30.62,7
California,5.11,4.88,5.35,1908
Colusa,0,0,17.2,0
Contra Costa,3.13,2.17,4.4,33
Del Norte,7,1.91,24.38,2
El Dorado,7.73,4.38,12.83,14
Fresno,7.83,6.16,9.82,73
Glenn,3.56,0.97,18.95,1
Humboldt,17.03,10.98,25.39,23
Imperial,1.72,0.65,4.78,3
Inyo,5.4,1.47,28.78,1
Kern,5.11,3.71,6.87,43
Kings,6.57,3.23,12,10
Lake,27.8,16.5,43.92,18
Lassen,34.44,17.94,60.04,12
Los Angeles,2.5,2.2,2.84,246
Madera,7.28,3.68,12.98,11
Marin,9.49,6.09,14.11,24
Mariposa,10.96,2.98,38.15,2
Mendocino,10.25,5.51,18.76,9
Merced,3.89,2.13,6.94,10
Modoc,30.94,8.43,88.73,3
Mono,7.02,1.91,37.39,1
Monterey,4.32,2.58,6.82,18
Napa,3.65,1.76,8.06,5
Nevada,4.05,1.75,9.85,4
Orange,7.22,6.3,8.24,218
Placer,2.86,1.42,5.21,10
Plumas,40.16,17.82,78.73,8
Riverside,5.27,4.36,6.31,116
Sacramento,6.26,5.03,7.7,89
San Benito,7.2,2.54,17.97,4
San Bernardino,3.18,2.47,4.04,65
San Diego,7.7,6.75,8.74,239
San Francisco,13.03,10.66,15.77,105
San Joaquin,10.77,8.49,13.48,74
San Luis Obispo,9.26,6.02,13.65,25
San Mateo,2.36,1.41,3.75,17
Santa Barbara,2.36,1.14,4.33,10
Santa Clara,2.4,1.75,3.23,43
Santa Cruz,10.26,6.92,14.77,27
Shasta,13.54,8.97,19.86,24
Sierra,62.09,16.92,216.25,2
Siskiyou,17.8,8.82,34.14,8
Solano,4.83,2.96,7.46,20
Sonoma,9.7,7.14,12.87,47
Stanislaus,2.91,1.69,4.75,15
Sutter,7.38,3.46,14.81,7
Tehama,0,0,5.8,0
Trinity,0,0,26.8,0
Tulare,2.48,1.3,4.39,11
Tuolumne,25.37,15.38,41.27,14
Unknown,NaN,0,NaN,0
Ventura,8.36,6.51,10.58,69
Yolo,3.48,1.47,7.11,7
Yuba,1.38,0.38,7.36,1
Source: CDPH Vital Statistics Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Safe and Active Communities Branch.,,,,
