County,Rates,95% LCL,95% UCL,Counts
Alameda,2.22,1.59,3.05,37
Alpine,0,0,329.36,0
Amador,5.18,1.41,18.03,2
Butte,7.42,4.41,11.79,17
Calaveras,2.19,0.6,11.67,1
California,5.55,5.32,5.79,2194
Colusa,0,0,16.92,0
Contra Costa,4.53,3.41,5.92,52
Del Norte,14.56,5.13,36.34,4
El Dorado,2.65,1.11,5.97,5
Fresno,4.75,3.5,6.31,47
Glenn,0,0,13.13,0
Humboldt,20.47,13.66,29.54,28
Imperial,4.38,1.94,8.58,8
Inyo,5.55,1.51,29.55,1
Kern,8.4,6.62,10.51,75
Kings,4,1.89,8.35,6
Lake,20.23,11.42,34.02,13
Lassen,16.05,7.74,35.38,5
Los Angeles,4.4,4,4.82,447
Madera,3.83,1.5,8.24,6
Marin,5.75,3.32,9.39,15
Mariposa,5.69,1.55,30.32,1
Mendocino,19.31,11.76,30.47,17
Merced,4.77,2.61,8.09,13
Modoc,33.86,12.82,94.2,3
Mono,0,0,26.04,0
Monterey,1.6,0.66,3.29,7
Napa,2.84,1.23,6.9,4
Nevada,6.01,2.59,12.77,6
Orange,7.99,7.04,9.04,255
Placer,4.66,2.87,7.27,18
Plumas,5.34,1.46,28.42,1
Riverside,5.78,4.87,6.81,140
Sacramento,3.98,3.05,5.12,61
San Benito,9.95,3.93,21.43,6
San Bernardino,2.64,2.02,3.41,57
San Diego,8.51,7.55,9.56,284
San Francisco,11.2,9.12,13.61,99
San Joaquin,9.26,7.22,11.7,69
San Luis Obispo,7.41,4.68,11.24,21
San Mateo,5.19,3.73,7.04,40
Santa Barbara,7.14,4.92,10.05,32
Santa Clara,3.46,2.68,4.39,67
Santa Cruz,6.52,3.95,10.23,18
Shasta,13.34,8.65,19.75,24
Sierra,0,0,123,0
Siskiyou,9.12,3.94,22.18,4
Solano,2.25,1.12,4.09,10
Sonoma,5.95,4.04,8.47,30
Stanislaus,3.29,1.99,5.15,18
Sutter,2.07,0.56,7.21,2
Tehama,0,0,5.77,0
Trinity,7.87,2.15,41.92,1
Tulare,2.37,1.37,4.07,11
Tuolumne,9.22,3.69,20.95,5
Unknown,NaN,0,NaN,0
Ventura,9.95,7.95,12.3,85
Yolo,3.2,1.5,6.41,7
Yuba,11.69,6.1,21.55,9
Source: CDPH Vital Statistics Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Safe and Active Communities Branch.,,,,
